usps,state,smokers_pct
AL,Alabama,21.1
AK,Alaska,19.9
AZ,Arizona,16.5
AR,Arkansas,24.7
CA,California,12.8
CO,Colorado,15.7
CT,Connecticut,15.4
DE,Delaware,19.9
DC,District of Columbia,16.4
FL,Florida,17.6
GA,Georgia,17.4
HI,Hawaii,29.2
ID,Idaho,14.1
IL,Illinois,15.9
IN,Indiana,16.5
IA,Iowa,22.9
KS,Kansas,18.5
KY,Kentucky,18.1
LA,Louisiana,26.2
ME,Maine,24
MD,Maryland,19.3
MA,Massachusetts,14.6
MI,Michigan,14.7
MN,Minnesota,21.2
MS,Mississippi,16.3
MO,Missouri,23
MT,Montana,20.6
NE,Nebraska,19.9
NV,Nevada,17.3
NH,New Hampshire,17
NJ,New Jersey,17.5
NM,New Mexico,15.1
NY,New York,19.1
NC,North Carolina,14.4
ND,North Dakota,19.1
OH,Ohio,19.9
OK,Oklahoma,21
OR,Oregon,21.1
PA,Pennsylvania,17
RI,Rhode Island,19.9
SC,South Carolina,11.3
SD,South Dakota,16.3
TN,Tennessee,21.5
TX,Texas,18.6
UT,Utah,24.2
VT,Vermont,14.5
VA,Virginia,9.7
WA,Washington,16.4
WV,West Virginia,19.5
WI,Wisconsin,15.3
WY,Wyoming,26.7
,,17.4
,,19.5
